flight_id,date,leg,iop,takeoff_utc_s,aimms_file,ccn_file,cpc_file,cpc_cvi_file,cdp_file,fims_file,merged_file
20160425a,2016-04-25,a,1,57490,AIMMS20_G1_20160425155810_R2_HISCALE020h.ict,CCN_G1_20160425155810_R2_HiScale001s.ict,CPC_G1_20160425155810_R2_HiScale001s.ict,CPC_G1_20160425155810_R2_HiScale001s.ict,CDP_G1_20160425155810_R2_HISCALE001s.ict,FIMS_G1_20160425_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160425a.txt
20160427a,2016-04-27,a,1,61122,AIMMS20_G1_20160427165842_R2_HISCALE020h.ict,CCN_G1_20160427165842_R2_HiScale001s.ict,CPC_G1_20160427165842_R2_HiScale001s.ict,CPC_G1_20160427165842_R2_HiScale001s.ict,CDP_G1_20160427165842_R2_HISCALE001s.ict,,aaf.g1.hiscale.mergedSD.20160427a.txt
20160428a,2016-04-28,a,1,61265,AIMMS20_G1_20160428170105_R2_HISCALE020h.ict,CCN_G1_20160428170105_R2_HiScale001s.ict,CPC_G1_20160428170105_R2_HiScale001s.ict,CPC_G1_20160428170105_R2_HiScale001s.ict,CDP_G1_20160428170105_R2_HISCALE001s.ict,FIMS_G1_20160428_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160428a.txt
20160501a,2016-05-01,a,1,61137,AIMMS20_G1_20160501165857_R2_HISCALE020h.ict,CCN_G1_20160501165857_R2_HiScale001s.ict,CPC_G1_20160501165857_R2_HiScale001s.ict,CPC_G1_20160501165857_R2_HiScale001s.ict,CDP_G1_20160501165857_R2_HISCALE001s.ict,FIMS_G1_20160501_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160501a.txt
20160502a,2016-05-02,a,1,60695,AIMMS20_G1_20160502165135_R2_HISCALE020h.ict,CCN_G1_20160502165135_R2_HiScale001s.ict,CPC_G1_20160502165135_R2_HiScale001s.ict,CPC_G1_20160502165135_R2_HiScale001s.ict,CDP_G1_20160502165135_R2_HISCALE001s.ict,FIMS_G1_20160502_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160502a.txt
20160503a,2016-05-03,a,1,61097,AIMMS20_G1_20160503165817_R2_HISCALE020h.ict,CCN_G1_20160503165817_R2_HiScale001s.ict,CPC_G1_20160503165817_R2_HiScale001s.ict,CPC_G1_20160503165817_R2_HiScale001s.ict,CDP_G1_20160503165817_R2_HISCALE001s.ict,FIMS_G1_20160503_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160503a.txt
20160506a,2016-05-06,a,1,61070,AIMMS20_G1_20160506165750_R2_HISCALE020h.ict,CCN_G1_20160506165750_R2_HiScale001s.ict,CPC_G1_20160506165750_R2_HiScale001s.ict,CPC_G1_20160506165750_R2_HiScale001s.ict,CDP_G1_20160506165750_R2_HISCALE001s.ict,FIMS_G1_20160506_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160506a.txt
20160507a,2016-05-07,a,1,61050,AIMMS20_G1_20160507165730_R2_HISCALE020h.ict,CCN_G1_20160507165730_R2_HiScale001s.ict,CPC_G1_20160507165730_R2_HiScale001s.ict,CPC_G1_20160507165730_R2_HiScale001s.ict,CDP_G1_20160507165730_R2_HISCALE001s.ict,FIMS_G1_20160507_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160507a.txt
20160508a,2016-05-08,a,1,57629,AIMMS20_G1_20160508160029_R2_HISCALE020h.ict,CCN_G1_20160508160029_R2_HiScale001s.ict,CPC_G1_20160508160029_R2_HiScale001s.ict,CPC_G1_20160508160029_R2_HiScale001s.ict,CDP_G1_20160508160029_R2_HISCALE001s.ict,FIMS_G1_20160508_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160508a.txt
20160510a,2016-05-10,a,1,60590,AIMMS20_G1_20160510164950_R2_HISCALE020h.ict,CCN_G1_20160510164950_R2_HiScale001s.ict,CPC_G1_20160510164950_R2_HiScale001s.ict,CPC_G1_20160510164950_R2_HiScale001s.ict,CDP_G1_20160510164950_R2_HISCALE001s.ict,FIMS_G1_20160510_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160510a.txt
